城市,開始時間,結束時間,最高溫度,最低溫度,感覺
臺北市,2023-07-29T06:00:00+08:00,2023-07-29T18:00:00+08:00,33.0,27.0,舒適至悶熱
新北市,2023-07-29T06:00:00+08:00,2023-07-29T18:00:00+08:00,33.0,26.0,舒適至悶熱
桃園市,2023-07-29T06:00:00+08:00,2023-07-29T18:00:00+08:00,33.0,26.0,舒適至悶熱
臺中市,2023-07-29T06:00:00+08:00,2023-07-29T18:00:00+08:00,34.0,27.0,舒適至易中暑
臺南市,2023-07-29T06:00:00+08:00,2023-07-29T18:00:00+08:00,32.0,27.0,舒適至悶熱
高雄市,2023-07-29T06:00:00+08:00,2023-07-29T18:00:00+08:00,32.0,28.0,舒適至悶熱
基隆市,2023-07-29T06:00:00+08:00,2023-07-29T18:00:00+08:00,33.0,28.0,悶熱
新竹縣,2023-07-29T06:00:00+08:00,2023-07-29T18:00:00+08:00,34.0,26.0,舒適至易中暑
新竹市,2023-07-29T06:00:00+08:00,2023-07-29T18:00:00+08:00,33.0,27.0,舒適至悶熱
苗栗縣,2023-07-29T06:00:00+08:00,2023-07-29T18:00:00+08:00,33.0,26.0,舒適至易中暑
彰化縣,2023-07-29T06:00:00+08:00,2023-07-29T18:00:00+08:00,33.0,27.0,舒適至易中暑
南投縣,2023-07-29T06:00:00+08:00,2023-07-29T18:00:00+08:00,33.0,25.0,舒適至悶熱
雲林縣,2023-07-29T06:00:00+08:00,2023-07-29T18:00:00+08:00,33.0,25.0,舒適至易中暑
嘉義縣,2023-07-29T06:00:00+08:00,2023-07-29T18:00:00+08:00,33.0,26.0,舒適至悶熱
嘉義市,2023-07-29T06:00:00+08:00,2023-07-29T18:00:00+08:00,33.0,25.0,舒適至悶熱
屏東縣,2023-07-29T06:00:00+08:00,2023-07-29T18:00:00+08:00,32.0,26.0,舒適至悶熱
宜蘭縣,2023-07-29T06:00:00+08:00,2023-07-29T18:00:00+08:00,33.0,26.0,舒適至易中暑
花蓮縣,2023-07-29T06:00:00+08:00,2023-07-29T18:00:00+08:00,32.0,26.0,舒適至悶熱
臺東縣,2023-07-29T06:00:00+08:00,2023-07-29T18:00:00+08:00,31.0,26.0,舒適至悶熱
澎湖縣,2023-07-29T06:00:00+08:00,2023-07-29T18:00:00+08:00,33.0,28.0,悶熱
金門縣,2023-07-29T06:00:00+08:00,2023-07-29T18:00:00+08:00,32.0,27.0,悶熱
連江縣,2023-07-29T06:00:00+08:00,2023-07-29T18:00:00+08:00,31.0,27.0,悶熱
